"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Colon, Bartolo",112526,2016,65,61.5,1.5,".114",".083",20.8,0,16.7,"92.769404444","91.325305882",47.6,44.4
"Ortiz, David",120074,2016,626,13.7,12.8,".419",".430",39.3,15.5,47.2,"103.045533739","96.143183874",19.4,43.5
"Rodriguez, Alex",121347,2016,243,27.6,5.8,".258",".287",25.5,7.5,38.5,"100.783814125","94.587311938",29.6,49.1
"Beltré, Adrian",134181,2016,640,10.3,7.5,".371",".366",34.2,8.5,40.4,"99.676160388","94.135210872",15.2,48.7
"Beltrán, Carlos",136860,2016,593,17,5.9,".358",".320",32.5,6.8,38.5,"100.288108","94.247053333",19.6,45.6
"Werth, Jayson",150029,2016,606,22.9,11.7,".327",".337",31.9,7.4,44.6,"101.514039895","95.15487147",20.9,38.1
"Pierzynski, A.J.",150229,2016,259,11.2,2.3,".236",".269",31.2,1.8,33.9,"97.258158899","92.682177143",18.3,59
"Rollins, Jimmy",276519,2016,166,19.9,9.6,".277",".254",30.8,1.7,17.1,"92.472097586","90.443254",21.6,44.3
"Vogelsong, Ryan",285064,2016,23,56.5,4.3,".109",".150",25,0,12.5,"94.77808","92.066848",24.4,47.7
"Uribe, Juan",346874,2016,259,18.9,5.8,".256",".323",30.2,7.3,37.5,"99.586699063","93.803070469",21.1,52.8
"Suzuki, Ichiro",400085,2016,365,11.5,8.2,".320",".297",36.2,0.7,20,"93.712066761","90.971439859",16,44
"Martinez, Victor",400121,2016,610,14.8,8.2,".351",".364",37.8,8.4,42.1,"99.515406052","94.050070323",17.2,46.4
"Utley, Chase",400284,2016,565,20.4,7.1,".312",".314",35.6,4.3,33.8,"97.089810462","92.614725578",18.9,40.2
"Pujols, Albert",405395,2016,650,11.5,7.5,".331",".367",31.5,9.2,44.1,"101.520633672","95.107410489",15.7,45.8
"Byrd, Marlon",407781,2016,129,29.5,8.5,".328",".305",43.8,7.5,37.5,"97.91343325","93.187412025",34.2,56.7
"Lackey, John",407793,2016,69,44.9,2.9,".114",".148",30.6,2.8,22.2,"95.973663125","92.013140313",28.8,50.2
"Holliday, Matt",407812,2016,426,16.7,8.2,".335",".351",27.9,8,47.8,"103.627355097","96.375905858",20.8,48.3
"De La Rosa, Jorge",407822,2016,42,33.3,4.8,".201",".188",12,0,8,"90.761776364","89.956752727",33.7,56.3
"Teixeira, Mark",407893,2016,438,24,10.7,".287",".309",33.1,7.4,37.3,"98.622615214","93.369596",23.2,42.6
"Mauer, Joe",408045,2016,576,16.1,13.7,".327",".357",36.5,6,42.9,"99.073111465","93.903650684",15.3,35.5
"Morneau, Justin",408047,2016,218,23.9,5.5,".311",".280",37.3,3.9,35.9,"98.790897895","93.69168125",24.9,55.2
"Cabrera, Miguel",408234,2016,679,17.1,11,".399",".449",40.1,15.9,50.6,"104.209910539","96.808753326",22.5,48.7
"González, Adrián",408236,2016,633,18.5,8.7,".334",".327",38.9,4.6,33.9,"97.49832385","92.844400863",22.9,48.1
"Peavy, Jake",408241,2016,31,38.7,6.5,".199",".211",35.3,0,17.6,"94.365801429","91.314695",26.5,43.4
"Phillips, Brandon",408252,2016,584,11.6,3.1,".315",".289",35.1,2.7,25.5,"95.874930249","91.938637593",19,57.6
"Infante, Omar",408299,2016,149,15.4,6,".260",".280",38.5,0,23.1,"94.619794821","91.346007589",23.3,48.1
"Crawford, Carl",408307,2016,87,12.6,4.6,".208",".240",26.8,0,23.9,"94.742233143","91.375792714",21.1,52.4
"Reyes, José",408314,2016,279,17.6,8.2,".329",".297",33.8,4.3,26.1,"95.366818447","91.837999024",20,45.4
"Ross, David",424325,2016,205,26.3,14.6,".326",".335",41.3,9.9,32.2,"97.447824035","92.750668947",31.1,46.5
"Crisp, Coco",424825,2016,498,15.7,9.2,".301",".295",36.1,2.4,23.3,"94.6724375","91.371091167",18.3,42.8
"Peralta, Jhonny",425509,2016,313,17.9,6.4,".308",".317",38.1,6.4,33.9,"97.74970178","92.983789617",20.4,46.2
"Loney, James",425766,2016,366,10.1,4.4,".302",".302",34.1,1.6,31.5,"97.044112876","92.570420525",11.7,50.6
"Mathis, Jeff",425772,2016,132,27.3,3,".261",".233",26.4,1.1,30.8,"97.236601136","92.633703409",30.6,52.6
"Choo, Shin-Soo",425783,2016,210,21.9,11.9,".334",".381",38.6,7.6,47,"101.0338075","95.170106328",22.6,38.7
"Rivera, René",425784,2016,207,26.1,7.7,".273",".282",32.8,4.5,29.9,"96.696435152","92.383027348",28.3,52
"Wainwright, Adam",425794,2016,69,24.6,2.9,".286",".286",30,4,34,"100.14792619","94.094405714",26.7,57.7
"Francoeur, Jeff",425796,2016,331,27.2,6,".290",".282",32.1,5.4,32.6,"98.218469444","93.130204167",31.9,56.4
"Upton Jr., B.J.",425834,2016,538,28.8,6.9,".297",".294",31.4,5.8,36.6,"98.525363353","93.336834147",34.7,50.2
"Greinke, Zack",425844,2016,60,15,5,".212",".299",29.2,4.2,20.8,"95.600785714","91.800392857",22,54.2
"Molina, Yadier",425877,2016,581,10.8,6.7,".342",".329",35.5,3.6,28.1,"96.332986111","92.235852393",15.3,53.3
"Navarro, Dioner",425900,2016,334,21.3,6.9,".258",".245",32.8,1.7,22.3,"94.258947043","91.170656",23.3,45.1
"Fielder, Prince",425902,2016,370,17,8.6,".276",".319",32.1,6,31.7,"99.37252626","93.689133282",24.9,44.7
"Canó, Robinson",429664,2016,715,14,6.6,".370",".348",32.7,7.3,42.8,"101.243038116","94.873902464",17.3,50.8
"Encarnación, Edwin",429665,2016,701,19.7,12.4,".373",".380",35.9,12.3,40.8,"100.992646966","94.7357806",23.6,42.4
"Hardy, J.J.",429666,2016,438,15.5,5.9,".307",".299",29.4,3.8,39.2,"99.484281111","93.965136334",15.1,36.3
"Howard, Ryan",429667,2016,362,31.5,7.5,".298",".352",37.7,15.5,47.7,"100.667309817","94.989750505",34.3,55
"Gutierrez, Franklin",429711,2016,283,30,10.2,".336",".359",31.3,10.8,47.6,"102.833719875","96.076288938",32.8,41.9
"Jackson, Edwin",429719,2016,27,40.7,11.1,".263",".213",15.4,0,15.4,"92.973691667","90.846945",34,44.2
"Weeks Jr., Rickie",430001,2016,205,26.3,9.8,".335",".380",29.9,13.4,44.1,"102.502256833","95.419093697",30.9,41.5
"Simon, Alfredo",430580,2016,19,36.8,5.3,".143",".141",0,0,10,"84.618125","90.175527143",26.5,59.6
"Kelly, Don",430603,2016,30,16.7,6.7,".209",".237",34.8,0,8.7,"92.523868182","90.377709048",9.4,46.5
"Raburn, Ryan",430605,2016,256,31.3,10.9,".309",".278",27.4,6.2,43.2,"100.142775556","94.395891538",32.2,45.9
"Johnson, Kelly",430637,2016,333,19.5,7.5,".301",".316",32,5.4,33.6,"98.457962521","93.238134832",21.7,47.4
"Bautista, José",430832,2016,517,19.9,16.8,".355",".360",30.6,8.3,45.7,"102.85874764","95.78624941",21.2,36.7
"Peña, Brayan",430910,2016,14,14.3,7.1,".201",".215",27.3,0,9.1,"88.64127","89.449294545",25,51.3
"Cain, Matt",430912,2016,28,60.7,0,".121",".106",27.3,9.1,18.2,"90.96093","90.957977778",52.2,47.9
"Jones, Adam",430945,2016,672,17.1,5.8,".319",".328",31.8,8,34.7,"99.066221633","93.612539581",26.2,60.4
"Aybar, Erick",430947,2016,459,15.3,6.8,".271",".253",26.7,0.6,15.1,"93.160192","90.680500606",16.1,50.3
"Hill, Aaron",431094,2016,427,13.8,9.6,".313",".311",35.3,1.2,26.6,"95.793055031","91.925488679",16.7,42.3
"Martin, Russell",431145,2016,535,27.7,12,".322",".326",29.4,9.3,40.3,"99.735703529","94.022415882",29.9,39
"Kazmir, Scott",431148,2016,50,48,2,".116",".076",12,0,0,"87.895342857","89.040528571",34.7,54
"Wright, David",431151,2016,163,33.7,16,".344",".377",48.8,19.5,46.3,"102.29032425","95.601863797",36.5,38.2
"McGehee, Casey",431171,2016,96,14.6,3.1,".225",".279",30.8,2.6,34.6,"99.171484872","93.763874545",15.3,48.9
"Blanco, Andrés",433217,2016,209,19.6,5.3,".313",".288",30.7,2,35.3,"97.837663108","93.170133878",26.6,53.1
"Granderson, Curtis",434158,2016,633,20.5,11.7,".339",".333",33.8,6.9,33.1,"97.844558841","93.013354879",22,36.5
"Liriano, Francisco",434538,2016,42,38.1,0,".287",".230",34.6,3.8,38.5,"101.302043846","94.832671923",32.9,57.6
"Ruiz, Carlos",434563,2016,233,14.2,11.6,".321",".338",31,3.6,36.9,"98.204953976","93.200383675",13.2,36.6
"Soto, Geovany",434567,2016,86,24.4,7,".345",".362",44.1,8.5,30.5,"97.959215357","93.073310182",27.1,44
"Hammel, Jason",434628,2016,69,34.8,1.4,".240",".186",25,0,27.3,"96.987428421","92.572517632",30.8,58.6
"Pagán, Ángel",434636,2016,541,12.2,7.8,".324",".320",36.1,3,21.8,"94.517204211","91.274645933",11.6,40.7
"Davis, Rajai",434658,2016,495,21.4,6.7,".302",".283",29.9,3.4,29.9,"96.624117251","92.325843684",24.1,52.1
"Ramirez, Hanley",434670,2016,620,19.4,9.7,".367",".348",29.6,10.4,42,"102.60270654","95.461057488",23.9,46.4
"Morales, Kendrys",434778,2016,618,19.4,7.8,".339",".389",34.5,10.8,49.9,"102.729617945","95.980574224",24,48
"Kendrick III, Howie",435062,2016,543,17.7,9.2,".303",".332",26.9,5.8,42.1,"100.905633472","94.674374404",20.8,47.9
"Napoli, Mike",435063,2016,645,30.1,12.1,".343",".340",33.2,13.3,39.4,"100.694645355","94.626004575",30.5,43.8
"Wilson, Bobby",435064,2016,251,25.5,4.4,".270",".255",35.4,3.4,26.3,"95.770032289","91.941271928",29.9,54.6
"Kinsler, Ian",435079,2016,679,16.9,6.6,".356",".326",37.4,3.8,30.8,"96.809080402","92.439064779",15.9,44.9
"Andino, Robert",435180,2016,24,16.7,0,".256",".189",20,0,20,"93.223535","91.079663",22.7,57.1
"McCarthy, Brandon",435221,2016,15,40,13.3,".092",".140",0,0,0,"82.9","88",13.3,22.4
"McCann, Brian",435263,2016,492,20.1,11,".326",".331",31.9,5.7,35.8,"98.173086829","93.218895076",19.7,43
"Walker, Neil",435522,2016,458,18.3,9.2,".351",".353",36.6,7.3,37.5,"98.645218598","93.511959969",19.9,46.7
"Suzuki, Kurt",435559,2016,373,12.9,4.8,".303",".284",31.5,2.6,30.5,"96.686014726","92.38313945",16.2,48.2
"Desmond, Ian",435622,2016,677,23.6,6.5,".336",".319",28.4,7.5,43.6,"101.481379741","94.914392441",27.7,46.5
"Cruz Jr., Nelson",443558,2016,667,23.8,9.3,".383",".397",34.8,16.5,52.4,"105.455090607","97.540246628",29.1,47.4
"Jaso, John",444379,2016,432,17.1,10.4,".335",".332",32.8,4.9,32.1,"97.253424898","92.646669488",17.2,40.7
"Trumbo, Mark",444432,2016,667,25.5,7.6,".358",".370",31.8,15.6,44.7,"104.542707696","96.586320716",29.3,49.3
"Peralta, David",444482,2016,183,23,4.4,".308",".275",28.5,4.6,37.7,"100.261556719","94.181407323",23.2,52
"Piña, Manny",444489,2016,81,18.5,12.3,".326",".341",32.1,3.6,32.1,"97.438330357","92.80864",26,40.8
"Ethier, Andre",444843,2016,26,23.1,7.7,".263",".223",27.8,5.6,22.2,"95.664764444","91.832382222",21.3,45.6
"Escobar, Alcides",444876,2016,682,14.1,4,".278",".262",31.7,1.4,17.6,"93.292750522","90.768535541",20.6,53.7
"Jay, Jon",445055,2016,374,20.9,5.1,".318",".287",34.3,1.1,23.2,"95.269865338","91.649630755",21.7,52.1
"Prado, Martín",445988,2016,658,10.5,7.4,".335",".312",31.2,1.3,30.8,"96.716693916","92.438265029",10.4,39.6
"Duda, Lucas",446263,2016,172,20.9,8.7,".304",".351",38.7,10.1,45.4,"102.014902542","95.235384786",22,41
"Wieters, Matt",446308,2016,464,18.3,6.9,".307",".324",34.5,7.3,33,"97.647514132","92.901723363",23.6,51.1
"Longoria, Evan",446334,2016,685,21,6.1,".350",".361",38.1,12.1,41.5,"100.450586423","94.476940468",26.1,48.5
"Cozart, Zack",446359,2016,508,16.5,7.3,".312",".289",31.4,2.3,27.5,"96.082829628","92.042175027",18.7,46.8
"Barney, Darwin",446381,2016,306,15.7,7.2,".303",".285",35.3,1.7,23.8,"94.737540526","91.384332203",17.8,48.6
"Guyer, Brandon",446386,2016,345,15.9,5.5,".351",".328",32.9,4.2,27.9,"96.629714701","92.33970859",19.5,49.9
"Rodríguez, Sean",446481,2016,342,29.8,9.6,".363",".342",35.1,11.4,36.6,"101.337946064","94.857851968",36.4,47.6
"Lobatón, Jose",446653,2016,114,15.8,10.5,".301",".337",33.7,4.8,31.3,"98.69548","93.497031299",23,53.1
"Hill, Rich",448179,2016,12,66.7,0,".000",".015",0,0,0,"82.9","88",64,69.4
"Shields, James",448306,2016,23,52.2,0,".167",".079",0,0,18.2,"93.245995","90.774255",48.7,48.1
"Reynolds, Mark",448602,2016,441,25.4,9.5,".349",".304",33.2,6,37.1,"99.559790638","93.811470783",26.7,46
"Ruggiano, Justin",448605,2016,26,38.5,7.7,".425",".333",28.6,14.3,42.9,"103.634566667","96.352285833",37.7,50.5
"Davis, Chris",448801,2016,665,32.9,13.2,".340",".353",35.7,15.1,44,"101.565109535","95.133377791",37.1,42.6
"García, Jaime",448802,2016,51,33.3,3.9,".171",".213",25,3.1,28.1,"97.230603333","92.781727917",25.3,52
"Guerra, Junior",448855,2016,43,30.2,0,".222",".177",20,0,16.7,"95.024028182","91.772082381",31.3,72.8
"Aviles, Mike",449107,2016,181,14.9,5,".236",".267",25.9,0,26.6,"95.730410429","91.868834857",17.5,46.8
"Orlando, Paulo",449181,2016,483,21.7,2.7,".317",".313",28.5,5.3,37.4,"100.40921936","94.349794593",25.4,56.4
"Zobrist, Ben",450314,2016,631,13,15.2,".360",".357",32.5,4.5,35.6,"98.19911162","93.170031019",12.8,35.5
"Fowler, Dexter",451594,2016,551,22.5,14.3,".367",".350",37.1,5.6,33.8,"98.048856319","93.030671963",22,39.2
"Rosario, Alberto",451705,2016,41,12.2,4.9,".206",".266",35.3,0,29.4,"94.629245882","91.570730909",13.5,46
"Flowers, Tyler",452095,2016,325,28,8.9,".338",".342",35.1,11.9,48.5,"104.089011368","96.706802579",28.7,45.6
"Headley, Chase",452104,2016,529,22.3,9.6,".312",".308",33.6,5.9,33.1,"97.969209257","93.020418343",24.8,44
"Drew, Stephen",452220,2016,165,18.8,9.7,".362",".352",37.1,5.2,31,"98.79894","93.708029048",17.2,42.4
"Smith, Seth",452234,2016,438,20.3,11,".331",".360",32.1,8.9,40.6,"100.019093472","94.134392813",22.4,39.7
"Lind, Adam",452252,2016,430,20.7,6,".304",".326",33.8,8.6,42.7,"101.049678141","94.699159647",22.8,47.6
"Pence, Hunter",452254,2016,442,21.5,9.7,".349",".341",26.1,6.9,41.3,"101.853185205","95.292388522",31.3,45.7
"Span, Denard",452655,2016,637,12.4,8.3,".312",".324",29.5,2.8,29.7,"97.007839412","92.543263074",14.2,44.3
"Lester, Jon",452657,2016,75,24,8,".162",".228",19.6,3.9,27.5,"98.106524","93.1196355",27.3,45.2
"Hanigan, Ryan",452672,2016,113,23.9,6.2,".212",".212",32.1,0,17.9,"91.93748973","90.578893836",22.5,43.6
"Cabrera, Asdrúbal",452678,2016,568,18.1,6.7,".345",".317",36.4,5.7,33.3,"97.172298873","92.748565343",23,50.8
"Ellsbury, Jacoby",453056,2016,616,13.6,8.8,".308",".307",30.8,1.7,31.4,"96.949773991","92.49193176",16.9,46.5
"Tulowitzki, Troy",453064,2016,544,18.6,7.9,".327",".351",33.7,9.6,40.8,"99.968194416","94.172079084",20.9,44.6
"Robinson, Shane",453203,2016,111,15.3,9,".227",".239",32.5,0,13.3,"92.453743","90.30138325",20,44.3
"Stubbs, Drew",453211,2016,94,40.4,12.8,".300",".268",23.3,7,34.9,"98.924692857","93.646107619",33.8,36.7
"Scherzer, Max",453286,2016,85,35.3,2.4,".183",".148",9.4,0,18.9,"95.377571053","91.712170263",35.6,48.2
"Richard, Clayton",453385,2016,21,42.9,4.8,".087",".130",27.3,0,9.1,"92.422965","90.2114825",36.1,41.9
"Johnson, Chris",453400,2016,264,29.5,7.2,".267",".307",37.3,4.8,42.8,"101.22259425","95.047431625",29.4,48.1
"Arrieta, Jake",453562,2016,70,40,5.7,".310",".260",39.5,7.9,36.8,"99.406701667","93.992989444",36.3,47.9
"Blackmon, Charlie",453568,2016,641,15.9,6.7,".394",".362",39.1,6.8,33.5,"98.398370641","93.276940427",17.2,47.1
"Ryan, Brendan",453895,2016,14,50,0,".068",".048",14.3,0,14.3,"89.551503333","90.333295",34.5,51.8
"Blanco, Grégor",453923,2016,273,18.7,10.6,".272",".273",28.6,2.6,20.3,"94.864227582","91.55402337",18.4,43.4
"Frazier, Todd",453943,2016,666,24.5,9.6,".326",".314",31.7,10.1,35.6,"99.373683535","93.75314655",28.3,46.7
"Ellis, A.J.",454560,2016,196,15.8,9.7,".266",".302",31.9,2.8,33.3,"97.030820725","92.536212971",13,38.4
"Iribarren, Hernan",454975,2016,45,24.4,0,".319",".265",26.5,0,29.4,"97.213502353","92.640918824",24.7,43.6
"Iannetta, Chris",455104,2016,338,24.6,11.2,".282",".313",28.8,5.6,39.1,"100.312814615","94.261259087",26.5,45.7
"Maldonado, Martín",455117,2016,253,22.1,13.8,".294",".303",32.1,7.7,29.5,"98.100662105","93.114408874",25.5,39.2
"Chirinos, Robinson",455139,2016,170,25.9,8.8,".338",".309",38.7,10.4,34.9,"98.389150769","93.247187282",29.4,44.6
"Pena, Ramiro",455369,2016,91,17.6,2.2,".322",".263",29.6,1.4,26.8,"94.650338571","91.327692",20.2,53.1
"Stewart, Chris",455755,2016,113,13.3,10.6,".271",".274",30.1,0,27.7,"94.978641707","91.600405926",11.5,34.1
"Young, Chris",455759,2016,227,22,9.3,".364",".306",39.2,4.6,36.6,"99.198353117","93.645602745",22.2,42
"Markakis, Nick",455976,2016,684,14.8,10.4,".321",".337",37.7,4.9,42.6,"99.656467012","94.166160539",12.8,40.4
"Pedroia, Dustin",456030,2016,698,10.5,8.7,".358",".331",35.3,2.5,28.9,"96.143655071","92.220249481",12.2,43.1
"Price, David",456034,2016,11,72.7,9.1,".063",".065",0,0,0,"65.60276","88",36.8,41.3
"Castillo, Welington",456078,2016,457,26.5,7.2,".319",".298",34.1,6,37.5,"99.332206027","93.755623127",26.9,43.4
"Kratz, Erik",456124,2016,87,36.8,1.1,".111",".180",16.7,5.6,48.1,"101.347637917","95.435115208",36,51.7
"Bourn, Michael",456422,2016,413,22.3,6.8,".298",".268",32.4,3.1,17.4,"93.904864519","90.977928104",23.7,41.9
"Núñez, Eduardo",456488,2016,595,14.8,4.9,".324",".299",28.8,4.4,37,"99.593665721","93.89352893",17.5,53.6
"Cueto, Johnny",456501,2016,84,28.6,2.4,".115",".132",13.8,0,5.2,"88.166366667","89.126224634",22.3,60.2
"Pearce, Steve",456665,2016,302,17.9,11.3,".371",".369",29.9,9,40.3,"99.67756019","94.18867181",24.5,45
"Bailey, Homer",456701,2016,11,9.1,9.1,".143",".115",0,0,0,"80.522735","88",6.7,38.5
"Butler, Billy",456714,2016,274,15.3,7.7,".324",".377",40.3,8.1,41.7,"101.351440485","95.000476068",21,45.4
"Cain, Lorenzo",456715,2016,434,19.4,7.1,".322",".319",35.6,4.4,33.4,"99.101392215","93.598154557",23.2,47.7
"Solano, Donovan",456781,2016,23,13,4.3,".302",".241",15.8,5.3,42.1,"99.827109","94.224794211",16.2,42
"Saltalamacchia, Jarrod",457454,2016,292,35.6,14,".277",".294",34,11.6,34.7,"98.62278411","93.444996096",35.7,43.8
"De Aza, Alejandro",457477,2016,267,25.1,9.7,".276",".315",43.2,4.7,27.2,"96.286007805","92.288871951",24.2,43.4
"Pacheco, Jordan",457574,2016,51,27.5,0,".166",".190",27,0,13.5,"89.530152778","90.096674167",25.2,51.5
"McCutchen, Andrew",457705,2016,675,21.2,10.2,".329",".343",32.1,8.5,41.7,"100.0584415","94.291172278",25.5,46.2
"Jackson, Austin",457706,2016,203,19.2,8.4,".292",".325",40.4,2.1,32.2,"97.349266479","92.775147305",19.7,43.5
"Upton, Justin",457708,2016,626,28.6,8,".329",".342",33.3,12.5,45.5,"103.617772296","96.069918389",30.8,44
"Maybin, Cameron",457727,2016,391,17.6,9.2,".352",".311",27.2,2.8,32.2,"98.017508623","93.008927065",20.3,42.4
"Turner, Justin",457759,2016,622,17.2,7.7,".353",".354",37.4,8.8,41.4,"99.439496974","94.092821934",18.5,44.4
"Posey III, Buster",457763,2016,614,11.1,10.4,".341",".361",32.6,6.9,43.2,"99.980849274","94.339517495",14.1,46.7
"Jennings, Desmond",457775,2016,225,25.8,9.3,".278",".281",27.8,4.9,33.3,"97.731984857","92.891593214",31,43
"Espinosa, Danny",457787,2016,601,29,9,".294",".286",26.6,8.2,33.4,"100.021848141","94.167752026",33,48.9
"Weeks, Jemile",457789,2016,57,24.6,5.3,".185",".272",25.6,5.1,30.8,"95.809303333","91.923842778",18.8,45.9
"Bruce, Jay",457803,2016,589,21.4,7.5,".340",".329",35.8,8.4,38.2,"99.066186699","93.59365767",26,51.4
"Happ, J.A.",457918,2016,10,30,0,".251",".290",28.6,0,0,"89.888555","89.358166667",15.4,44.8
"Janish, Paul",457926,2016,35,8.6,8.6,".241",".342",42.9,0,10.7,"90.689233571","89.954226296",22,46.5
"Votto, Joey",458015,2016,677,17.7,16,".413",".399",40.5,9.7,39.9,"98.837699864","93.672828526",18.6,41.5
"Coghlan, Chris",458085,2016,300,24.3,11.7,".269",".283",29.6,4.2,30.2,"97.574693864","92.833128125",25.4,43.3
"Brignac, Reid",458582,2016,29,27.6,0,".207",".257",28.6,9.5,33.3,"98.160979","93.6527595",24.6,52.6
"Rasmus, Colby",458675,2016,417,29,10.3,".282",".313",30.8,8.3,36.8,"99.474992295","93.815628066",33.5,47.3
"Gardner, Brett",458731,2016,634,16.7,11,".317",".311",27.8,2.4,24,"95.537567202","91.768783601",15.4,37.3
"Saunders, Michael",459431,2016,558,28.1,10.6,".348",".318",33.2,7.7,44.5,"100.77075","94.693404424",29.2,44.7
"Joyce, Matt",459964,2016,293,22.9,20.1,".375",".364",28.7,9.1,39,"99.154621039","93.716792662",31.9,37.6
"Hundley, Nick",460026,2016,317,20.5,7.9,".323",".300",28.8,5.3,37.2,"99.740636306","93.975801765",25.2,50.6
"Pennington, Cliff",460060,2016,188,29.3,6.9,".253",".245",36.7,2.5,23.3,"94.228794912","91.152504737",25.2,50.1
"Braun, Ryan",460075,2016,564,17.4,8.2,".378",".349",27.2,8.4,38.9,"100.969640293","94.600225854",20.9,50.9
"Butera, Drew",460077,2016,133,27.1,6,".345",".256",36,4.5,22.5,"94.236203023","91.118101512",25,49.2
"Gordon, Alex",460086,2016,506,29.2,10.3,".303",".323",35.2,8.7,36.6,"98.612210203","93.42446878",29.4,43.5
"Reimold, Nolan",460099,2016,227,27.3,9.7,".292",".278",30.3,4.9,32.4,"97.905977429","93.013942446",28.6,41.4
"Gimenez, Chris",460269,2016,155,26.5,6.5,".265",".288",35.9,5.8,32,"97.065311837","92.57938433",25.6,48.1
"Gómez, Carlos",460576,2016,453,30,7.5,".296",".274",29.9,6.5,32,"98.989293664","93.524663716",32.9,53
"Moss, Brandon",461235,2016,464,30.4,8.4,".329",".337",37.2,13.4,39,"100.280583504","94.153692482",35.3,50.8
"Kemp, Matt",461314,2016,672,23.2,5.4,".333",".347",37.2,11.1,38,"99.092328235","93.605489937",29.4,54.9
"Venable, Will",461416,2016,19,26.3,0,".103",".197",15.4,0,15.4,"91.79107","90.162556923",31.4,54.7
"Gonzalez, Gio",461829,2016,59,40.7,0,".141",".155",26.5,0,8.8,"91.087949167","89.94581",43.9,64.4
"Plouffe, Trevor",461858,2016,344,17.4,5.5,".311",".328",29.3,6.5,40.3,"100.1892725","94.348746016",19.8,45.4
"Romine, Andrew",461865,2016,194,19.6,6.7,".279",".297",32.4,2.2,21.6,"94.504383582","91.319030597",25.8,56.3
