"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Colon, Bartolo",112526,2016,791,16.2,4,".311",".318",29.9,5.3,37.6,"80.64008598","93.890421364",13.6,47.2
"Sabathia, CC",282332,2016,768,19.8,8.5,".312",".289",27.5,4.4,26.9,"74.149818745","92.141573867",23,46.4
"Dickey, R.A.",285079,2016,728,17.3,8.7,".338",".350",34.7,7.3,35.5,"76.222407311","93.57778803",23.6,48.1
"Lackey, John",407793,2016,748,24.1,7.1,".280",".316",32.6,5.9,38.1,"79.577643008","94.146629301",25.5,49
"De La Rosa, Jorge",407822,2016,614,17.6,10.3,".369",".351",30.8,6.4,38.6,"78.133013649","93.932480665",24.8,45.5
"Peavy, Jake",408241,2016,520,19.6,6.9,".354",".343",33.9,9.2,36.8,"80.214987473","93.86073168",23.2,48.6
"Wainwright, Adam",425794,2016,847,19,7,".335",".329",37.5,5.9,30.2,"76.527704073","92.663444238",20.2,44.1
"Greinke, Zack",425844,2016,667,20.1,6.1,".319",".317",32.1,6.9,30.9,"77.706972996","93.012835633",22.8,49.2
"Santana, Ervin",429722,2016,748,19.9,7.1,".296",".313",32.8,5.9,31.7,"78.073854633","93.358087853",22.9,47.2
"Hamels, Cole",430935,2016,848,23.6,9.1,".307",".315",32,6,35.7,"75.943485474","93.704193047",27.2,48.7
"Kazmir, Scott",431148,2016,590,22.7,8.8,".327",".312",35.8,5.3,31,"74.522581451","92.655854286",23.3,44.9
"Hernández, Félix",433587,2016,655,18.6,9.9,".316",".345",31.7,5.9,34.3,"78.843843209","93.634039674",22.5,46.6
"Verlander, Justin",434378,2016,903,28.1,6.3,".272",".274",29.8,7.5,32.9,"77.434162902","93.214610402",26.9,50.2
"Liriano, Francisco",434538,2016,731,23,11.6,".336",".320",28.6,6.4,33.3,"78.13093163","93.357773598",28.2,43.3
"Jiménez, Ubaldo",434622,2016,637,19.6,11.3,".337",".318",29.1,5,32.3,"78.801353803","93.088461174",21.4,42
"Hammel, Jason",434628,2016,692,20.8,7.7,".315",".325",33.5,7.2,37.2,"80.270904768","93.989707505",23.8,46.6
"Sánchez, Aníbal",434671,2016,668,20.2,7.9,".353",".324",31.2,6.1,35.2,"78.454217112","93.401729287",21.6,46.7
"Nolasco, Ricky",445060,2016,817,17.6,5.4,".318",".318",33.8,6.4,35.9,"78.558677785","93.551862007",20.9,46.5
"Kluber, Corey",446372,2016,860,26.4,6.6,".275",".282",34.4,6,30.4,"75.860158029","92.779869048",28.2,48.5
"Shields, James",448306,2016,821,16.4,10,".377",".359",34.6,8.4,33.3,"78.659147619","93.438884966",22.3,44
"García, Jaime",448802,2016,741,20.2,7.7,".334",".310",28.1,5.7,35.3,"78.07956375","93.764564168",21.7,45.8
"Volquez, Edinson",450172,2016,853,16.3,8.9,".343",".347",32.2,6.3,35.5,"78.467344645","93.710160517",19.8,45.8
"Weaver, Jered",450308,2016,766,13.4,6.7,".365",".352",38.3,7.4,32.1,"78.239708822","93.133951804",18.8,45.8
"Fister, Doug",450729,2016,778,14.8,8,".340",".331",34.2,4.5,35.7,"76.519269522","93.25770971",15.6,40.5
"Gallardo, Yovani",451596,2016,525,16.2,11.6,".349",".331",33.6,5.3,35.7,"79.09021973","93.510307425",17.5,41
"Lester, Jon",452657,2016,796,24.7,6.5,".264",".272",31.2,4.1,29.2,"77.528217198","92.686430661",24,47.1
"Kennedy, Ian",453178,2016,818,22.5,8.1,".312",".323",32.4,7.7,38.7,"79.045151148","93.924687625",23.4,47.3
"Wright, Steven",453214,2016,656,19.4,8.7,".289",".281",27.8,3,26.7,"76.786797339","92.51169695",25.4,44.7
"Scherzer, Max",453286,2016,902,31.5,6.2,".267",".259",30.8,6.1,29.5,"76.600744771","92.906856711",32.4,51.8
"Buchholz, Clay",453329,2016,588,15.8,9.4,".321",".328",29.9,6.7,32.9,"78.455515814","93.054127674",22,45.7
"Arrieta, Jake",453562,2016,795,23.9,9.6,".261",".291",30.8,4.8,29.6,"76.361267362","92.51406872",25.2,45.6
"Price, David",456034,2016,951,24,5.3,".309",".298",32.4,6.3,33,"76.790504264","93.434837926",24.8,51
"González, Miguel",456068,2016,566,16.8,6.2,".298",".309",32.6,4,30.9,"77.57521184","92.837656454",18.2,48.6
"Griffin, A.J.",456167,2016,509,21,9,".353",".353",38.1,8.6,38.7,"78.867624497","93.952152908",22.8,44.2
"Cueto, Johnny",456501,2016,881,22.5,5.1,".276",".291",30.2,4.4,33.2,"77.282585166","93.196412053",21.8,48.2
"Happ, J.A.",457918,2016,796,20.5,7.5,".291",".321",32.1,7.4,37.2,"79.006846942","94.164660342",22.3,47
"Tomlin, Josh",458708,2016,725,16.3,2.8,".327",".332",35.4,7.2,32.2,"77.349528786","93.261151109",17,48.4
"Pelfrey, Mike",460059,2016,541,10.4,8.5,".378",".370",31.4,5.5,39.3,"78.236595849","93.969928463",16.6,43.8
"Gonzalez, Gio",461829,2016,765,22.4,7.7,".317",".316",31.2,5.9,33.8,"78.905913695","93.393239034",23.4,44.2
"Estrada, Marco",462136,2016,723,22.8,9,".279",".296",31.9,7.4,31.5,"77.811059017","93.240246859",26.2,45.8
"Nova, Iván",467100,2016,684,18.6,4.1,".330",".323",31.9,6.7,41,"80.616567347","94.698374816",20.5,49.5
"Chacín, Jhoulys",468504,2016,632,18.8,8.7,".322",".326",29.1,4.4,36.2,"78.600703241","93.682301319",19.5,44.2
"Carrasco, Carlos",471911,2016,599,25,5.7,".303",".288",30.6,5.1,37.9,"79.700303756","93.83353198",27,49.4
"Hellickson, Jeremy",476451,2016,772,19.9,5.8,".304",".322",37.4,6.9,28.4,"77.188686877","93.001822156",24,48
"Niese, Jonathon",477003,2016,546,16.1,8.6,".374",".355",33.6,6.4,35.8,"79.290416615","93.82981526",17.9,46.2
"Kershaw, Clayton",477132,2016,544,31.6,2,".204",".222",27.9,4.5,27.3,"77.128945852","92.355949715",31.5,51.7
"Cashner, Andrew",488768,2016,587,19.1,10.2,".361",".359",33.8,7.8,40.7,"81.433778154","94.46057162",18.4,42.9
"Miley, Wade",489119,2016,711,19.3,6.9,".346",".345",35.1,6.7,37.4,"78.408058577","93.886690891",20.8,46.7
"Quintana, Jose",500779,2016,837,21.6,6,".297",".293",33.1,4.5,34.2,"78.012765118","93.183909207",18.6,45.8
"Pineda, Michael",501381,2016,755,27.4,7,".335",".304",35.6,6.7,39.3,"79.597226066","94.022051211",31.2,48.8
"Tillman, Chris",501957,2016,715,19.6,9.2,".317",".330",34.7,7.8,35.3,"79.233002249","93.500010463",21.9,45.7
"Archer, Chris",502042,2016,850,27.4,7.9,".304",".302",29.7,8.4,40.5,"80.17965382","94.340095524",29.6,45.5
"Gibson, Kyle",502043,2016,653,15.9,8.4,".352",".339",32.7,6.1,33.5,"78.176597273","93.341247867",22.7,45.3
"Locke, Jeff",502046,2016,563,13,7.8,".358",".345",31.2,6.5,33.4,"79.107975048","93.662401831",19.3,48.7
"Samardzija, Jeff",502188,2016,829,20.1,6.5,".303",".307",31.1,6.1,35.1,"78.57450771","93.55389312",20.7,48.6
"Leake, Mike",502190,2016,757,16.5,4,".323",".327",29.7,6.2,36.8,"78.379602063","93.866092434",16.3,47.9
"Santiago, Héctor",502327,2016,785,18.3,10.1,".332",".353",33,9.3,39.3,"79.385412198","94.190346703",19.9,46.2
"Anderson, Chase",502624,2016,647,18.5,8.2,".348",".348",38.1,8.7,30,"78.214046228","93.015949605",20.8,45.2
"Peralta, Wily",503449,2016,554,16.8,7.8,".365",".345",34.9,6.7,35.9,"78.8768112","93.881343058",21,44.5
"Nicasio, Juan",504379,2016,513,26.9,8.8,".330",".285",30.3,5,31.6,"78.249718514","93.410485101",24.4,46.7
"Salazar, Danny",517593,2016,584,27.6,10.8,".304",".307",32.4,7.8,44.1,"81.658556591","94.842019148",25.6,47
"Bettis, Chad",518452,2016,814,17,7.2,".332",".330",31.1,5.6,34.9,"78.376797424","93.557475874",21.6,45.1
"Bumgarner, Madison",518516,2016,912,27.5,5.9,".269",".279",29.5,6.7,31.2,"78.651695105","93.234360787",25.9,48.1
"Duffy, Danny",518633,2016,731,25.7,5.7,".305",".308",34.8,7.9,36,"79.742936708","93.732759521",27.3,51.5
"Gee, Dillon",518716,2016,551,16.2,6.7,".348",".330",34.6,6.2,30.1,"76.904223448","92.641790025",18.4,47.1
"Moore, Matt",519043,2016,838,21.2,8.6,".304",".317",30.9,6.4,31.4,"79.032774515","93.295812705",24.2,47
"Nelson, Jimmy",519076,2016,807,17.3,10.7,".345",".327",27.8,5.5,35.1,"78.539410511","93.601808227",19,45
"Pomeranz, Drew",519141,2016,703,26.5,9.2,".286",".279",28.4,7.3,34.4,"77.782632719","93.231277581",25.9,46.2
