"last_name, first_name","player_id","year","home_run","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_rbi","b_total_bases","woba"
"Colon, Bartolo",112526,2016,1,61.5,1.5,".083",".167",".098","0.265","2","10",".114"
"Ortiz, David",120074,2016,38,13.7,12.8,".315",".620",".401","1.021","127","333",".419"
"Rodriguez, Alex",121347,2016,9,27.6,5.8,".200",".351",".247","0.598","31","79",".258"
"Beltré, Adrian",134181,2016,32,10.3,7.5,".300",".521",".358","0.879","104","304",".371"
"Beltrán, Carlos",136860,2016,29,17,5.9,".295",".513",".337","0.850","93","283",".358"
"Werth, Jayson",150029,2016,21,22.9,11.7,".244",".417",".335","0.752","69","219",".327"
"Pierzynski, A.J.",150229,2016,2,11.2,2.3,".219",".304",".243","0.547","23","75",".236"
"Rollins, Jimmy",276519,2016,2,19.9,9.6,".221",".329",".295","0.624","8","49",".277"
"Vogelsong, Ryan",285064,2016,0,56.5,4.3,".053",".053",".143","0.196","1","1",".109"
"Uribe, Juan",346874,2016,7,18.9,5.8,".206",".332",".259","0.591","25","79",".256"
"Suzuki, Ichiro",400085,2016,1,11.5,8.2,".291",".376",".354","0.730","22","123",".320"
"Martinez, Victor",400121,2016,27,14.8,8.2,".289",".476",".351","0.827","86","263",".351"
"Utley, Chase",400284,2016,14,20.4,7.1,".252",".396",".319","0.715","52","203",".312"
"Pujols, Albert",405395,2016,31,11.5,7.5,".268",".457",".323","0.780","119","271",".331"
"Byrd, Marlon",407781,2016,5,29.5,8.5,".270",".452",".326","0.778","19","52",".328"
"Lackey, John",407793,2016,0,44.9,2.9,".095",".127",".123","0.250","2","8",".114"
"Holliday, Matt",407812,2016,20,16.7,8.2,".246",".461",".322","0.783","62","176",".335"
"De La Rosa, Jorge",407822,2016,0,33.3,4.8,".184",".184",".244","0.428","6","7",".201"
"Teixeira, Mark",407893,2016,15,24,10.7,".204",".362",".292","0.654","44","140",".287"
"Mauer, Joe",408045,2016,11,16.1,13.7,".261",".389",".363","0.752","49","192",".327"
"Morneau, Justin",408047,2016,6,23.9,5.5,".261",".429",".303","0.732","25","87",".311"
"Cabrera, Miguel",408234,2016,38,17.1,11,".316",".563",".393","0.956","108","335",".399"
"González, Adrián",408236,2016,18,18.5,8.7,".285",".435",".349","0.784","90","247",".334"
"Peavy, Jake",408241,2016,0,38.7,6.5,".185",".185",".241","0.426","3","5",".199"
"Phillips, Brandon",408252,2016,11,11.6,3.1,".291",".416",".320","0.736","64","229",".315"
"Infante, Omar",408299,2016,0,15.4,6,".239",".321",".279","0.600","11","43",".260"
"Crawford, Carl",408307,2016,0,12.6,4.6,".185",".235",".230","0.465","6","19",".208"
"Reyes, José",408314,2016,8,17.6,8.2,".267",".443",".326","0.769","24","113",".329"
"Ross, David",424325,2016,10,26.3,14.6,".229",".446",".338","0.784","32","74",".326"
"Crisp, Coco",424825,2016,13,15.7,9.2,".231",".397",".302","0.699","55","177",".301"
"Peralta, Jhonny",425509,2016,8,17.9,6.4,".260",".408",".307","0.715","29","118",".308"
"Loney, James",425766,2016,9,10.1,4.4,".265",".397",".307","0.704","34","136",".302"
"Mathis, Jeff",425772,2016,2,27.3,3,".238",".333",".267","0.600","15","42",".261"
"Choo, Shin-Soo",425783,2016,7,21.9,11.9,".242",".399",".357","0.756","17","71",".334"
"Rivera, René",425784,2016,6,26.1,7.7,".222",".341",".291","0.632","26","63",".273"
"Wainwright, Adam",425794,2016,2,24.6,2.9,".210",".452",".234","0.686","18","28",".286"
"Francoeur, Jeff",425796,2016,7,27.2,6,".254",".378",".297","0.675","34","116",".290"
"Upton Jr., B.J.",425834,2016,20,28.8,6.9,".238",".402",".291","0.693","61","198",".297"
"Greinke, Zack",425844,2016,0,15,5,".212",".231",".246","0.477","3","12",".212"
"Molina, Yadier",425877,2016,8,10.8,6.7,".307",".427",".360","0.787","58","228",".342"
"Navarro, Dioner",425900,2016,6,21.3,6.9,".207",".322",".265","0.587","35","98",".258"
"Fielder, Prince",425902,2016,8,17,8.6,".212",".334",".292","0.626","44","109",".276"
"Canó, Robinson",429664,2016,39,14,6.6,".298",".533",".350","0.883","103","349",".370"
"Encarnación, Edwin",429665,2016,42,19.7,12.4,".263",".529",".357","0.886","127","318",".373"
"Hardy, J.J.",429666,2016,9,15.5,5.9,".269",".407",".309","0.716","48","165",".307"
